,Unnamed: 0,tweet,target
140,140,"As we think abt  across t generations at this time, a turkey sandwich & mince pie, in t company of strangers is seldom effective",0
2911,2911,Won't you take me to Funky Town ... at Hanover Park Terminus.  ,0
1359,1359,Why doesn't Christmas last longer ???© ,0
1494,1494,Really trying to not look at tweets or watch any videos from Alison’s first red rocks show I am,0
2924,2924,For all those out there suffering with  and or  this is for you ,0
2906,2906,Just finished the last episode of New Girl ???³ what am I supposed to do now? ,0
706,706,You can clearly appreciate the sub-harmonics in both...-ONE💯😂😂😂👍🏿 ,0
376,376,Spending my last day off in bed rough as hell... And the sun is shining ???” ,0
2399,2399,@queenjlouise @mamaw_gereck awe thanks 😊,0
483,483,Make her burst into laughter bcs of you.,0
689,689,Curry really can't play tonight  but the rest of the Warriors got it ??????????????????????????????????,0
1328,1328,10pm laying in bed eating a chocolate SANTA ???…...   is over,0
1997,1997,As of August 21- this is the Album of the Year. No question/without a doubt.   pic.twitter.com/xvpQPQqvxw,0
2293,2293,"We are all so much together, but we are all dying of loneliness. â€”Albert Schweitzer   ??¤”???”",0
1320,1320,@071304Nathan Happy #blissful birthday,0
873,873,@traviswall Strange Fruit. Wow. The story of what America was and what it can be. #brilliant #soyouthinkyoucandance,0
622,622,Relation and connection are not somewhere and sometimes but everywhere and always' Emerson,0
3169,3169,"Nowadays, people are feeling lonelier because the quality of friendships and relationships are perceived to be of lower quality than in the past. ",0
2452,2452,"No no no, everyone is starting to go back to school & I’m not ",0
1096,1096,Deserve the world and if you feel like nobody cares or wants you here I do I love you and I care and I want you here don’t let this people tell you that your not worth it because you are your worth everything,0
299,299,Why can't I go Super Saiyan? ,0
41,41,Hello everyone! How are you? Sinong excited na for live shows? Hahaha don't worry we are too 😃😬,0
1637,1637,Just wish people understood mental illness   ,0
2101,2101,No one chooses . Its an illness not a choice.,0
2444,2444,@russ_kent @IsabelOakeshott Inexplicably well paid talking head who lectures in impenetrable consultu-speak #dire,0
2426,2426,"I'm going to keep banging on about this, cos it's true. What you focus on, you get more of. Stop telling yourself you're  or . Tell yourself you're happy, strong, confident, powerful. Not only cos you ARE, but cos your brilliant mind listens to what you tell it. pic.twitter.com/gBQn7yEjsJ",0
2164,2164,In the bath swimming about like a dolphin and there's not hot water left fml  ,0
1091,1091,It seems that a lonely future is waiting for me! Giver said he had a wife but it's forbidden to talk about our job.    pic.twitter.com/RcJGUdSs9K,0
519,519, trying to promote your video to a youtuber over 100k is simply pointless  ,0
748,748,just tryna talk to somone and they got to be confused about it huhhhhhhhh life it boring as hell ,0
1156,1156,Don't frown be meh,0
1721,1721,EdGy DepReSsEd TeEnAgEr  blacked out my pfp  pic.twitter.com/bsqBWkKqZP,0
2886,2886,"You keep losing your self respect , if u keep giving them chances.??   ",0
643,643,I really love @TheFostersTV really great start to this season.  #resist,0
1621,1621,Completely sick ??¤’ On my way to the hospital instead of a Christmas party ???§  ,0
95,95,Why are people on twitter so depressing...,0
2728,2728,Yaaaaaaaaaaaas!!!! Scotty Sinclair #wonderful #magical,0
2304,2304,|  | Youngsters need to speak against their family when they are wrong     ???????? ???? ?? ??? ?? ???? ?????? ??? ?????? ???? ?? ??? ?????: ?????????? ??? pic.twitter.com/9NusC7RpLi,0
3016,3016,@WalmartToday your hitting it spot on with your commercials. Love the one with the town coming to eat and bringing chairs. #brilliant,0
1714,1714,"Keep a relentless eye on your goals! Perseverance, joyful dedication, and unwavering focus will get you @AmyLeighMercree",0
3081,3081,"Pop in to see an elderly relative, friend or neighbour this  and help combat   pic.twitter.com/3Zy8CXTriS",0
791,791,#My #Mind is free of all aspects of #fear and #pain &amp; talk with me to produce #positive thought.\n#affirmation #thought #focus\nPlease retweet,0
2952,2952,"The  in  disorder is deeper, darker, and more persistent than in unipolar disorder (depression).",0
2089,2089,I hate new year  .___.    ,0
3121,3121,“I can’t afford to hate people. I don’t have that kind of time.” – #BobRoss  💛💙 #TuesdayMotivation  #sober #xa,0
2280,2280,Loneliness is probably one of the worst feelings there is. That’s why community is such a high priority for us here at Christians Against Poverty. We want our clients to know that they’re not alone - we are on their side.,0
197,197,Only the insecure withhold praise of another's achievements     ,0
1840,1840,"When you living with someone that is manic depressed, life stops   ???????”",0
996,996,"Chanyeol always cheering, he'll claps loudly and very happy when talks about something funny",0
3003,3003,@ActuallyNPH @RealJamesWoods I didn't realize you weren't acting... You actually are that guy. #smh  #Hercules #ghostsofmississippi,0
1311,1311,@RosieHale Bro no you don't you'll be so dissapointed in me 😂 il let you read it next time you're down here tho 💁,0
1895,1895,I miss you so much!! I can't wait for you to be back home!! ,0
2759,2759,And again the same problems as all season and last year and the year before.  ,0
2160,2160,Gotta do my best today and keep my happiness on and not let anything bring me down... big day today 💖🤘☇ #stoked ,0
1535,1535,"Just seeing school idols fills me with energy, makes me want to cheer for them and makes me also want to sing and dance together with them!",0
1314,1314,RT talkspace  costs companies $52 billion/year in absenteeism & reduced productivity; results in 400 million lost work days/year…,0
2023,2023,"#AmazonPrimeDay2017 is basically my new favorite holiday.  GPS watch, food storage, pet toys, books acquired! @amazon #happy #shopping",0
2509,2509,This weekend is the end of bow hunting season. ,0
2425,2425,"I can't get the images of  out of my mind. Everywhere was busy. It's not like there's no money around,  more like there's no will to change the status quo. ",0
2758,2758,So I put a movie in for us to watch as a family & I'm the only one here everyone left for bed.    hope ur all ??,0
1489,1489,????? ?? ???? ?? ?? ??? ????? ??? ??..!,0
2344,2344,"H've you ever  tweeted a tweet liKE    (etc,etc).......????  People will likes them tooo.... So don't show your sadness in social media.....!!! Be StrOng......",0
2393,2393,"I really need to know which  composer wrote ""Bubbles,"" if only to know who to blame for my week-long melancholy... ",0
1475,1475,Chad and Sarah is honestly me and my ex 10 years ago 😂😂 #CBB #horrifying,0
1736,1736,This ruined my whole Sunday!,0
3159,3159,The worst kind of pain is keeping yourself laughing to avoid the tears from falling.   ,0
150,150,"Morning! Good vibes today people!! It's July 11, 2017 at 09:00AM #goodmorning #twitter #happy",0
3152,3152,"??’€â€¢What ""I'm Fine"" really meansâ€¢??’€   pic.twitter.com/8AGOTjdGZh",0
2180,2180,They cancelled Chewing Gum. #devastated,0
1356,1356," is serious, so let's treat it seriously. Don't just brush it off, tell someone, and if some one tells you, don't over react.",0
2639,2639,@CommsRuss @LuHeron Sooooo needed to be on that call! #adorable #needyaunty #pupster,0
2645,2645,Just had a craving for ce fiore and then I remembered it's gone forever  ???”,0
2576,2576,It takes less #muscles to #laugh than to #frown - stops facial &amp; mental aging too! Laugh strongly &amp; often to #lead effectively! #leadership,0
2995,2995,What does murmuring and complaining do to our psyche?    Start thinking of what you have and say thanks you alive,0
275,275,Can't believe I've had 9 days off already and that I'm back to work tomorrow! ,0
398,398,oh how i just love love love glee doing billy joel's numbers!!!!,0
665,665,"New, and a bit alarming . . .",0
3112,3112,Of course Raj has twisted tea bags after I graduate..... I never got to throw my Boston tea party,0
2558,2558,If I ever got paid to be in impractical jokers as one of the people to tell the guys what to do I would do that in a heartbeat #hilarious,0
417,417,In our daily liveswe must see that it is not happiness that makes us grateful but being grateful that makes us happy.,0
2437,2437,'I think our dreams can motivate us more than our fears can paralyze us.'  ~  Chris Hogan  #dreams #fears #life,0
1482,1482,"It is 4:30 AM, crying baby since 1 and my missus is tucked up in bed with earplugs. Not her problem...   ",0
1734,1734,YOU MIGHT BE TRYING TO FILL THE VOID IN YOUR #HEART WITH ALL SORTS OF THINGS BUT THAT PLACE BELONGS TO JESUS CHRIST #music #worry #love #SMM,0
1055,1055,@Tayylittle Mmm..is there any other way to start the day? ☕️ #yummy,0
155,155,"Harden not your heart, as in the provocation, and as in the day of temptation in the wilderness: - Psalm 95:8 KJV",0
1555,1555,@Skinnytaste made your Chicken Tikka Masala w/ cauliflower &amp; peas tonight. So delicious didn't even get a chance to snap a pic! #delicious,0
8,8,When you go out and try to be a part of life & end up feeling like you are less a part of it then when you started.   pic.twitter.com/J625NXrWDb,0
3099,3099,@ChristinaSNP All this great news.... it must be hurting some folk to be happy about this. 😊,0
453,453,"Music is so empowering. \nit can literally bring people tears, smiles, laughter, and so many emotions",0
1351,1351,"for 3 days, I will improve the landscape of the my game() and make the pause menu with the ability to save and load",0
2513,2513,Had the best week w my ppl but wish there didn't have to be another goodbye,0
551,551,Every GIRL deserves a GUY who can make her SMILE :D,0
2624,2624,I can't even turn up for the holidays  ,0
1807,1807,Talk about a roller coaster season. ,0
2205,2205,I got striked by #awesomeness and blinding people by all the #glory! #nosleep48,0
1134,1134,I'll give in to happiness when it shows its self  ,0
1301,1301,@GunnerGale Miss Gale I'd really really appreciate a follow back!! I'm one of your biggest fans! ,0
1547,1547,I just got off work I don't have any food at my house bc leaving tomorrow and McDonald's isn't even open right now,0
2210,2210,This Wednesday @ChandlerBMusic #kickstarter begins! Y'all be READY! #ChandlerBayMusic #ChandlerBayEP #tantrum,0
1419,1419,124  ???????????????????????  ??????????????????????????????w    ?????????   2????????????????????????   ?????????  ?????2??????????????????????????????  ????????????  ???????????????????????????????????????ww   ?????????????????????????????????????????????????ww   ???????????????????  ??????????????????????????????w  pic.twitter.com/c6NCrT1pUF,0
625,625,I think I have post gay weekend blues... so I bought a dildo 👍🏻,0
2332,2332,"If your nail polish has hardened or is gummy, place the bottle in a pan of boiling water. The polish will be like new.",0
2314,2314,Winter and holidays can be challenging seasons for older adults--especially for those living alone.  Come to EPL September 5 at 6:00 PM to learn ways to deal with . Our special guest will be Cris Hughes from AARP.  pic.twitter.com/rh0S4FhIm9,0
961,961,"Is the  clinically ? FT, 22 dec.  pic.twitter.com/OOpadOAi5M",0
1480,1480,We are #successful the moment we start toward a laudable goal #JBenson #success #quoteoftheday #happiness,0
1629,1629,"this is one of those nights where I just want to get in my truck & drive, & think. .? ????",0
759,759,"Reminder: Our office is closed tomorrow, Thursday January 1, 2015. See you in the new year!   ",0
2669,2669,"He aint flinch tho, I'll give him that lol",0
